
Detailed
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0.000,,Filament,0.000,1,100000001,
0.000,,Filament,1.000,1,100000001,
0.000,,Filament,2.000,1,100000001,
0.000,,Filament,3.000,1,100000001,
1.000,,Filament,4.000,1,100000001,
2.000,,Filament,5.000,1,100000001,
5.000,,Filament,6.000,1,100000001,
8.000,,Filament,7.000,1,100000001,
8.000,,Filament,8.000,1,100000001,
6.000,,Filament,9.000,1,100000001,
2.000,,Filament,10.000,1,100000001,
2.000,,Filament,11.000,1,100000001,
2.000,,Filament,12.000,1,100000001,
2.000,,Filament,13.000,1,100000001,
2.000,,Filament,14.000,1,100000001,
3.000,,Filament,15.000,1,100000001,
2.000,,Filament,16.000,1,100000001,
4.000,,Filament,17.000,1,100000001,
2.000,,Filament,18.000,1,100000001,
2.000,,Filament,19.000,1,100000001,
6.000,,Filament,20.000,1,100000001,
5.000,,Filament,21.000,1,100000001,
3.000,,Filament,22.000,1,100000001,
2.000,,Filament,23.000,1,100000001,
3.000,,Filament,24.000,1,100000001,
3.000,,Filament,25.000,1,100000001,
4.000,,Filament,26.000,1,100000001,
3.000,,Filament,27.000,1,100000001,
0.000,,Filament,28.000,1,100000001,
